,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
92312,20120308,RODMAN & RENSHAW CAP GRP INC NEW,RODM,38137.45,10.0,,,,,1,10.0,10.0,7.0,,,,,,1.0,,,,,,,4.0,1.0,1.0,5.0,5.0,,,,3.0,,,8.0,1.0,10.0,,,5.0,,,,,1.0,1.0,8.0,,1.0,,,,1.0,9,10.0,10,1
92318,20120308,TOWNEBANK,TOWN,390344.86,9.0,,,,,10,10.0,1.0,5.0,,,,,6.0,7.0,5.0,,,,,,10.0,3.0,4.0,3.0,,7.0,,6.0,7.0,,,2.0,4.0,9.0,,,2.0,,5.0,9.0,3.0,8.0,7.0,6.0,,9.0,10.0,10.0,,3.0,9,10.0,10,1
92319,20120308,TRANS1 INC,TSON,98350.84,10.0,9.0,8.0,10.0,10.0,1,10.0,1.0,4.0,10.0,10.0,3.0,10.0,,1.0,,10.0,10.0,1.0,10.0,10.0,5.0,1.0,1.0,4.0,8.0,,,,2.0,,,10.0,4.0,3.0,,6.0,1.0,,,,,7.0,1.0,7.0,,5.0,,,,1.0,9,8.0,10,1
92320,20120308,INCONTACT INC,SAAS,237269.28,10.0,1.0,10.0,1.0,8.0,10,1.0,1.0,1.0,6.0,6.0,10.0,8.0,,2.0,1.0,8.0,1.0,1.0,5.0,8.0,1.0,2.0,2.0,4.0,1.0,,,7.0,5.0,3.0,8.0,5.0,10.0,2.0,,1.0,1.0,,1.0,2.0,1.0,4.0,2.0,10.0,,5.0,,,,1.0,9,8.0,10,1
92322,20120308,ULTA SALON COSMETICS & FRAG INC,ULTA,5525133.352,4.0,1.0,10.0,1.0,7.0,10,1.0,1.0,2.0,10.0,9.0,10.0,6.0,,3.0,2.0,8.0,3.0,3.0,9.0,4.0,1.0,8.0,7.0,4.0,8.0,,,10.0,8.0,5.0,9.0,7.0,10.0,2.0,,1.0,2.0,10.0,9.0,3.0,10.0,3.0,4.0,6.0,,2.0,,,,10.0,9,3.0,10,1
92326,20120308,C V R ENERGY,CVI,2257876.08,6.0,8.0,3.0,8.0,5.0,10,1.0,10.0,3.0,9.0,4.0,10.0,1.0,,2.0,4.0,6.0,8.0,10.0,9.0,2.0,5.0,3.0,2.0,10.0,10.0,,,4.0,5.0,6.0,3.0,4.0,10.0,1.0,,6.0,7.0,,8.0,10.0,9.0,3.0,4.0,2.0,,4.0,,,,5.0,9,1.0,10,1
92332,20120308,GENERAL STEEL HOLDINGS INC,GSI,53812.8,10.0,8.0,1.0,9.0,3.0,1,1.0,10.0,2.0,1.0,1.0,7.0,1.0,,1.0,3.0,4.0,1.0,5.0,8.0,4.0,10.0,2.0,1.0,10.0,1.0,,,,1.0,,,9.0,1.0,10.0,,10.0,2.0,,,,,9.0,2.0,2.0,,6.0,,,,1.0,9,10.0,10,1
92345,20120308,NOVABAY PHARMACEUTICALS INC,NBY,36245.76,10.0,2.0,,3.0,,1,10.0,1.0,1.0,10.0,10.0,4.0,1.0,,1.0,,10.0,7.0,6.0,10.0,10.0,1.0,1.0,1.0,1.0,10.0,,,,4.0,,,9.0,2.0,10.0,,3.0,1.0,,,,,7.0,1.0,10.0,,5.0,,,,1.0,9,8.0,10,1
92346,20120308,PATRIOT COAL CORP,PCX,585421.2,6.0,5.0,1.0,6.0,1.0,1,1.0,1.0,6.0,2.0,5.0,3.0,1.0,,2.0,7.0,10.0,5.0,10.0,2.0,8.0,8.0,2.0,2.0,6.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,9.0,2.0,,1.0,1.0,2.0,9.0,,,,7.0,7.0,3.0,,2.0,9,1.0,10,1
92354,20120308,PZENA INVESTMENT MANAGEMENT INC,PZN,53086.5,10.0,,,,,10,10.0,10.0,2.0,,,,,,6.0,3.0,,,,,,3.0,8.0,7.0,6.0,10.0,,,2.0,3.0,,,6.0,2.0,9.0,,,1.0,,3.0,3.0,4.0,1.0,2.0,3.0,,2.0,,,,1.0,9,10.0,10,1
