,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
90532,20070904,SYS TECHNOLOGIES INC,SYS,44226.0,10.0,8.0,5.0,5.0,8.0,1,1.0,1.0,1.0,1.0,1.0,8.0,3.0,,1.0,,1.0,5.0,1.0,4.0,2.0,5.0,1.0,1.0,8.0,1.0,,,,7.0,,,10.0,3.0,10.0,,8.0,1.0,,,,,2.0,1.0,,,2.0,,,,1.0,9,10.0,10,1
90533,20070904,W & T OFFSHORE INC,WTI,1753822.2,6.0,7.0,5.0,4.0,6.0,1,1.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,9.0,10.0,1.0,1.0,3.0,2.0,1.0,6.0,7.0,7.0,2.0,1.0,,,1.0,9.0,3.0,2.0,7.0,1.0,8.0,,8.0,6.0,,6.0,9.0,7.0,8.0,4.0,,,8.0,,,,4.0,9,9.0,10,10
90534,20070904,CITIZENS & NORTHERN CORP,CZNC,164576.0,10.0,,,,,1,1.0,10.0,1.0,,,,,10.0,8.0,5.0,,,,,,10.0,2.0,4.0,3.0,,,,3.0,2.0,,,10.0,2.0,9.0,,,1.0,,3.0,4.0,2.0,9.0,6.0,,,9.0,10.0,7.0,,3.0,9,10.0,10,1
90535,20070904,DOLLAR FINANCIAL CORP,DLLR,593951.12,9.0,,,,,1,1.0,1.0,3.0,,,,,,2.0,1.0,,,,,,4.0,2.0,2.0,4.0,10.0,,,2.0,2.0,,,2.0,8.0,1.0,,,2.0,,,,,8.0,4.0,,,9.0,,,,4.0,9,2.0,10,10
90536,20070904,G F I GROUP INC,GFIG,2262018.28,6.0,,,,,10,10.0,1.0,2.0,,,,,,3.0,1.0,,,,,,1.0,8.0,8.0,3.0,1.0,,,8.0,2.0,,,4.0,10.0,4.0,,,2.0,,8.0,3.0,8.0,6.0,5.0,,,4.0,,,,10.0,9,4.0,10,10
90538,20070904,JAMES RIVER COAL CO,JRCC,95192.49,10.0,8.0,2.0,9.0,4.0,1,1.0,1.0,6.0,10.0,9.0,7.0,1.0,,1.0,10.0,8.0,3.0,5.0,9.0,2.0,9.0,1.0,1.0,10.0,6.0,,,10.0,6.0,10.0,8.0,1.0,1.0,10.0,,9.0,6.0,,1.0,1.0,1.0,10.0,1.0,,,10.0,,,,1.0,9,1.0,10,1
90539,20070904,MAJESCO ENTERTAINMENT CO,COOL,51544.08,10.0,1.0,10.0,1.0,6.0,10,10.0,1.0,1.0,10.0,10.0,10.0,5.0,,1.0,,10.0,,3.0,10.0,4.0,2.0,1.0,1.0,9.0,10.0,,,,7.0,,,10.0,10.0,1.0,,1.0,1.0,,,1.0,1.0,4.0,1.0,,,5.0,,,,1.0,9,10.0,10,1
90540,20070904,NATIONAL INTERSTATE CORP,NATL,633491.2,9.0,,,,,10,10.0,1.0,6.0,,,,,1.0,9.0,5.0,,,,,,8.0,5.0,9.0,3.0,10.0,,,4.0,3.0,,,5.0,3.0,1.0,,,6.0,,9.0,10.0,5.0,1.0,1.0,,,1.0,,,,6.0,9,10.0,10,10
90541,20070904,OPTIONSXPRESS HOLDINGS INC,OXPS,1520556.45,7.0,,,,,10,10.0,1.0,4.0,,,,,8.0,5.0,2.0,,,,,,2.0,9.0,10.0,1.0,10.0,,,7.0,2.0,,,1.0,3.0,7.0,,,4.0,9.0,10.0,6.0,9.0,8.0,5.0,,,7.0,,,,4.0,9,3.0,10,10
90543,20070904,SEABRIGHT INSURANCE HOLDINGS INC,SEAB,364435.63,10.0,,,,,10,10.0,1.0,4.0,,,,,,9.0,6.0,,,,,,7.0,6.0,6.0,4.0,8.0,,,6.0,3.0,,,5.0,9.0,9.0,,,4.0,,7.0,10.0,7.0,8.0,1.0,,,9.0,,,,3.0,9,5.0,10,10
